URL,Name,Chip Image
https://www.techpowerup.com/cpu-specs/ryzen-3-7320u.c3045,AMD Ryzen 3 7320U,https://tpucdn.com/cpu-specs/images/connectivity/amd-mobile-fp6-mendocino.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-5800h.c2368,AMD Ryzen 7 5800H,https://tpucdn.com/cpu-specs/images/chips/2368-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-2-duo-e8400.c467,Intel Core 2 Duo E8400,https://tpucdn.com/cpu-specs/images/chips/467-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-6800h.c2527,AMD Ryzen 7 6800H,https://tpucdn.com/cpu-specs/images/chips/2527-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-9850x3d.c4301,AMD Ryzen 7 9850X3D,https://tpucdn.com/cpu-specs/images/chips/4301-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-i7-4790k.c1761,Intel Core i7-4790K,https://tpucdn.com/cpu-specs/images/chips/1761-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-i5-14400f.c3454,Intel Core i5-14400F,https://tpucdn.com/cpu-specs/images/chips/3454-package.small.jpg
https://www.techpowerup.com/cpu-specs/processor-n150.c4109,Intel Processor N150,https://tpucdn.com/cpu-specs/images/chips/4109-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-7700.c2960,AMD Ryzen 7 7700,https://tpucdn.com/cpu-specs/images/chips/2960-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-i7-7700k.c1842,Intel Core i7-7700K,https://tpucdn.com/cpu-specs/images/chips/1842-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-7535hs.c3042,AMD Ryzen 5 7535HS,https://tpucdn.com/cpu-specs/images/chips/3042-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-ultra-9-275hx.c4096,Intel Core Ultra 9 275HX,https://tpucdn.com/cpu-specs/images/chips/4096-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-4500u.c2285,AMD Ryzen 5 4500U,https://tpucdn.com/cpu-specs/images/chips/2285-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-i7-13620h.c3053,Intel Core i7-13620H,https://tpucdn.com/cpu-specs/images/chips/3053-front.small.jpg
https://www.techpowerup.com/cpu-specs/core-i7-3770.c1002,Intel Core i7-3770,https://tpucdn.com/cpu-specs/images/chips/1002-front.small.jpg
https://www.techpowerup.com/cpu-specs/fx-9590.c1650,AMD FX-9590,https://tpucdn.com/cpu-specs/images/chips/1650-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-5500gt.c3439,AMD Ryzen 5 5500GT,https://tpucdn.com/cpu-specs/images/connectivity/amd-am4.jpg
https://www.techpowerup.com/cpu-specs/ryzen-5-7600.c2959,AMD Ryzen 5 7600,https://tpucdn.com/cpu-specs/images/chips/2959-front.small.jpg
https://www.techpowerup.com/cpu-specs/ryzen-7-4800h.c2280,AMD Ryzen 7 4800H,https://tpucdn.com/cpu-specs/images/chips/2280-front.small.jpg
